454 1196       
21214 89577 6.011876247784634      
72629 72636 109.82014324364248      
72630 72629 11.532014743136738      
17884 85239 3.3638338549550513  North Pearl Street  
67519 68183 0.997166845      
67533 88563 11.83953820872021      
85248 56010 11.627039412128019      
62491 62269 3680.336974967587      
76793 51749 57.38547717  Washington Drive   
74070 74069 201.90684387634224  Granville Inn   
78313 56010 34.60040999792233      
30224 30225 3.7697089224117475  Herrick Hall   
91439 91444 49.99283138  East Broadway   
30220 30238 3.999694326341675  Herrick Hall   
44530 44517 178.69712423656784  Shorney Hall   
37552 47917 44.94881721141708      
32396 88882 227.80048533037862  Cedar Street   
30226 30227 3.792096057325552      
11693 40185 54.27250034167355      
40192 40169 17.965677709520133  Bancroft Drive   
35994 28150 7.100142011895799      
67518 67521 16.98177629      
59686 62947 242.5201571511293  South Mulberry Street  
12576 51737 147.25289240119227  East College Street  
40184 69593 87.51920555756195  East Loop   
37204 37204 64.85245418826487  Silverstein Park   
70025 69997 489.0894917182533      
51754 36014 9.352892842  Washington Drive   
67438 69947 5.799232107130343  West Broadway   
41831 41827 108.09293682160042  Seeley G Mudd Learning Center
23859 88884 54.775472365529204  Cedar Lane   
63574 17650 19670.088350528564  North Street   
88561 67507 8.164138398633119  West Broadway   
64457 74851 9.066770826494514      
68223 68222 95.31427642842128      
44642 55341 16.206320483156386  North Loop Road  
15348 15354 87.02973069895756      
81120 81121 15.548399204617743      
45113 635949 6.0781031317788345  Ebaugh Drive   
66303 26038 73.26963688787458  Ridge Road   
72636 78321 25.69036774820952      
68223 68222 8.023139427240157      
36000 79134 1931.4806786972279  New Burg Street  
33054 33165 69.12729706214022  Reese-Shackelford Commons   
170 30216 6.354976183292741      
67519 67520 17.18081627800429      
68178 68184 186.1639349      
73495 73494 17.564650410771748      
67419 54165 94.26165391412839  North Plum Street  
12809 96666 11.080775025736017      
65996 65990 12.217241845254232      
94372 30918 63.753729306715606  Sheppard Place   
21424 21424 82.59538768      
67436 67431 86.09442269882359      
30216 172 18.109095276259357      
9470 76799 37.19096252998303      
88564 93053 62.86011944  West Broadway   
30228 30227 3.797210857288197  Herrick Hall   
56025 70025 29.57151153040499      
96665 74850 86.00442856837392      
67403 67411 52.14558331539506      
74852 91441 19.50294351449095      
36000 35994 82.59163005557056      
89584 89585 29.777809073551413      
40251 11696 14.159372638109616      
67539 67544 51.52521954164453      
27125 27124 12.125158159843382      
92592 45105 59.09275989325842      
205 206 28.463674902795848      
75788 75790 48.55357861599459      
47555 47556 3.6496853924268775      
19658 70036 106.69379964701001      
15395 15399 71.28873902612945      
69947 67438 5.799232107130343  West Broadway   
51737 12576 147.25289240119227  East College Street  
30222 30231 3.720489097345632  Herrick Hall   
88568 67415 10.409215523570623      
64457 74852 7.091303373458067      
54023 78319 48.83741896187236      
30214 175 5.368929366000442      
47557 68174 11.677670942599226      
88860 44838 42.628682321242316  North Pearl Street  
21204 173 53.95783010434372      
62487 62488 44.90495914416415      
73734 19718 139.15091805287972  West College Street  
51729 51736 421.5356955492576  East College Street  
45111 45113 23.09791524914231      
74069 74070 5.681603069635969  Granville Inn   
67412 96669 5.823162362862148      
6259 72630 50.473457932712115      
66303 15381 143.19191716582216  East Loop   
30216 170 6.354976183292741      
67430 67419 55.123325842844956      
17647 85241 89.18212825100213      
74069 74070 201.90684387634226  Granville Inn   
73495 91441 34.048086056674535  East Broadway   
67507 69937 94.91484125060741  West Broadway   
58162 67520 10.962445810197277  East Broadway   
91439 12572 8.34724128  East Broadway   
409938 66299 231.13195723675946  Chapel Drive   
63084 5773 66.39882959563121      
67414 54168 32.96114537453239      
15399 21018 49.446464046989355      
81123 58606 86.12798395657768  Ebaugh Drive   
40193 40254 11.89875075516901      
88566 88567 10.24931013123803      
94372 21410 27.359373682463822  Sheppard Place   
17647 56017 182.04726617480384      
66297 51737 295.2143988990424  President's Drive   
68223 68215 18.930348914269867      
67509 75788 83.39532383137505      
68214 68215 10.946133472214644      
40169 40184 46.29817498790281      
62482 70839 177.3984806506722      
92592 33054 19.01880303315055      
44838 48549 138.1850652381391  North Pearl Street  
98653 67432 30.38288463465824      
70033 52914 130.21109257387647      
56080 56023 45.152225339057836      
